property_id,lat,lng,addr_street,price,property_type,year,bedrooms,bathrooms,parking_space,distance_to_sc,shopping_center_id,train_station_id,distance_to_train_station,hospital_id,distance_to_hospital,distance_to_supermarket,supermarket_id,suburb,travel_min_to_CBD,transfer_flag
84311,-37.854076,144.984532,7 Henry Street,12054000,house,2015,2,1,0,1181,SC_066,19958,724,hospital_155,811.081,1460.702,S_017,WINDSOR,9,0
28516,-37.796076,144.991829,15 Forest Street,12800000,house,2016,4,2,1,2779,SC_068,19975,405,hospital_170,1598.426,1075.296,S_060,COLLINGWOOD,11,0
6699,-37.77715302,144.83978269999997,4 Ryan Court,1155000,house,2008,3,1,2,837,SC_102,20021,1290,hospital_174,809.568,848.682,S_080,SUNSHINE NORTH,26,0
55694,-37.839033,145.091887,45 Cornell Street,20610000,house,2014,4,2,2,3497,SC_042,19894,1392,hospital_089,1697.792,2354.041,S_160,CAMBERWELL,31,0
28476,-37.798052,144.990763,128 Easey Street,11050000,house,2010,3,2,1,2576,SC_068,19975,423,hospital_170,1384.91,894.103,S_060,COLLINGWOOD,11,0
40909,-37.68523,145.05260900000002,6 Blau Street,7150000,house,2012,4,2,2,4773,SC_062,45795,3662,hospital_041,1283.281,1254.359,S_155,BUNDOORA,46,0
2627,-37.820405,144.88885,1/70-72 Newcastle Street,8162000,house,2014,3,1,2,3898,SC_043,19996,432,hospital_056,2500.993,2060.217,S_201,YARRAVILLE,16,0
24316,-37.69886398,144.96511840000002,31 Glynda Street,5850000,house,2009,3,1,1,3483,SC_030,19961,714,hospital_139,4043.928,1142.324,S_161,FAWKNER,35,0
11869,-37.708775,144.8175965,5 Augustines Way,7350000,house,2012,3,2,2,2032,SC_107,20001,3245,hospital_057,4717.739,2342.26,S_222,KEILOR,36,0
54273,-37.8216014,145.04414530000003,22 Malmsbury Street,17550000,house,2011,4,1,2,958,SC_083,19903,203,hospital_127,1098.094,978.28,S_208,HAWTHORN,23,0
84679,-37.886774,144.9894,152 Ormond Road,25500000,house,2016,3,1,2,1911,SC_015,19955,1185,hospital_009,2172.45,1318.244,S_133,ELWOOD,15,0
9537,-37.84721756,144.7249908,40 James Cook Drv,4488000,house,2008,3,2,1,2256,SC_053,46468,3238,hospital_073,5738.129,2710.239,S_007,TRUGANINA,33,0
35899,-37.680935,145.031668,17 Smith Avenue,6290000,house,2014,4,1,3,5258,SC_047,20007,1936,hospital_053,3166.104,1795.158,S_228,THOMASTOWN,38,0
94186,-38.0738,145.123775,3/24 Valetta Street,4950000,house,2013,3,2,2,6666,SC_070,19858,181,hospital_180,7101.477,1981.803,S_077,CARRUM,39,0
68281,-37.860046000000004,145.02369199999998,12 Alleyne Avenue,8305000,house,2016,4,2,3,2471,SC_038,19945,586,hospital_092,607.307,467.206,S_013,ARMADALE,24,0
84449,-37.854486,144.987726,91 Henry Street,18590000,house,2013,3,2,0,924,SC_066,19957,501,hospital_103,684.67,1312.0,S_053,WINDSOR,11,0
92873,-38.003627,145.100782,19 Pooley Bridge Road,14430000,house,2016,4,2,2,3241,SC_003,19863,1485,hospital_001,3329.679,1620.75,S_119,MORDIALLOC,44,0
